CLAS physics database search results
Measurement E131M1
g1c
Michael Dugger
2009

Egamma	cos(theta)	dsigma/dOmega	Data errors
MeV	dimensionless	mcb/sr	mcb/sr
1325	0.75	3.03097	0.0725
1375	-0.55	0.49059	0.01502
1375	-0.45	0.42553	0.01212
1375	-0.35	0.39117	0.01298
1375	-0.25	0.41767	0.01196
1375	-0.15	0.43081	0.01449
1375	-0.05	0.42812	0.01175
1375	0.05	0.43414	0.0111
1375	0.15	0.47961	0.01234
1375	0.25	0.57761	0.01529
1375	0.35	0.78395	0.02028
1375	0.45	1.16552	0.02975
1375	0.55	1.63115	0.04044
1375	0.65	2.19696	0.05224
1375	0.75	2.78762	0.06783
1425	-0.55	0.50775	0.01537
1425	-0.45	0.44734	0.01268
1425	-0.35	0.40536	0.013
1425	-0.25	0.38484	0.01132
1425	-0.15	0.39129	0.01281
1425	-0.05	0.40436	0.01122
1425	0.05	0.40843	0.01058
1425	0.15	0.45457	0.01192
1425	0.25	0.53802	0.01438
1425	0.35	0.74797	0.01961
1425	0.45	1.04203	0.02688
1425	0.55	1.44015	0.0354
1425	0.65	1.93871	0.046
1425	0.75	2.48375	0.06148
1475	-0.55	0.5232	0.01559
1475	-0.45	0.44127	0.01264
1475	-0.35	0.37992	0.01222
1475	-0.25	0.36208	0.0111
1475	-0.15	0.37244	0.01151
1475	-0.05	0.37011	0.0103
1475	0.05	0.38428	0.00999
1475	0.15	0.42833	0.01137
1475	0.25	0.49466	0.0131
1475	0.35	0.70518	0.01864
1475	0.45	0.9589	0.02484
1475	0.55	1.31319	0.03255
1475	0.65	1.70588	0.04052
1475	0.75	2.12148	0.05243
1525	-0.55	0.47841	0.01442
1525	-0.45	0.40214	0.01191
1525	-0.35	0.35985	0.01157
1525	-0.25	0.33334	0.01105
1525	-0.15	0.31438	0.00968
1525	-0.05	0.3282	0.0093
1525	0.05	0.3461	0.00918
1525	0.15	0.39628	0.01066
1525	0.25	0.48919	0.01299
1525	0.35	0.69094	0.01854
1525	0.45	0.8777	0.02293
1525	0.55	1.1297	0.0281
1525	0.65	1.46413	0.03508
1525	0.75	1.83084	0.04558
1575	-0.75	0.45173	0.01824
1575	-0.65	0.46271	0.01366
1575	-0.55	0.41425	0.01131
1575	-0.45	0.36806	0.01023
1575	-0.35	0.31547	0.00877
1575	-0.25	0.29005	0.0091
1575	-0.15	0.28131	0.00757
1575	-0.05	0.2899	0.00737
1575	0.05	0.30696	0.00758
1575	0.15	0.36849	0.00929
1575	0.25	0.45561	0.0113
1575	0.35	0.59719	0.01509
1575	0.45	0.77711	0.0194
1575	0.55	0.95956	0.02327
1575	0.65	1.21411	0.02854
1575	0.75	1.56476	0.03839
1625	-0.75	0.39427	0.01578
1625	-0.65	0.40083	0.01202
1625	-0.55	0.35156	0.00964
1625	-0.45	0.32924	0.00949
1625	-0.35	0.29899	0.00817
1625	-0.25	0.27093	0.0089
1625	-0.15	0.25304	0.00672
1625	-0.05	0.26436	0.00671
1625	0.05	0.29135	0.00721
1625	0.15	0.33898	0.00854
1625	0.25	0.42676	0.01061
1625	0.35	0.56833	0.01446
1625	0.45	0.69642	0.01729
1625	0.55	0.83959	0.02011
1625	0.65	1.0582	0.02487
1625	0.75	1.32236	0.03204
1675	-0.75	0.33219	0.01267
1675	-0.65	0.33262	0.01008
1675	-0.55	0.30742	0.00845
1675	-0.45	0.29002	0.00882
1675	-0.35	0.25868	0.007
1675	-0.25	0.24331	0.00802
1675	-0.15	0.23618	0.00627
1675	-0.05	0.24832	0.00619
1675	0.05	0.27627	0.00689
1675	0.15	0.32168	0.00825
1675	0.25	0.41132	0.01036
1675	0.35	0.51726	0.01314
1675	0.45	0.62401	0.01553
1675	0.55	0.76052	0.01824
1675	0.65	0.9289	0.02197
1675	0.75	1.27424	0.03147
1725	-0.65	0.26959	0.00849
1725	-0.55	0.23811	0.00658
1725	-0.45	0.2326	0.00738
1725	-0.35	0.22687	0.00626
1725	-0.25	0.2165	0.00715
1725	-0.15	0.21977	0.00592
1725	-0.05	0.22697	0.0057
1725	0.05	0.25554	0.0064
1725	0.15	0.2998	0.00774
1725	0.25	0.393	0.00998
1725	0.35	0.49558	0.0126
1725	0.45	0.57868	0.01437
1725	0.55	0.6933	0.01653
1725	0.65	0.87858	0.0211
1775	-0.65	0.21715	0.00916
1775	-0.55	0.20347	0.00713
1775	-0.45	0.21916	0.00885
1775	-0.35	0.21071	0.00742
1775	-0.25	0.21321	0.0091
1775	-0.15	0.21557	0.00714
1775	-0.05	0.21502	0.00654
1775	0.05	0.24543	0.00749
1775	0.15	0.29068	0.00901
1775	0.25	0.37194	0.011
1775	0.35	0.47214	0.01366
1775	0.45	0.57039	0.01573
1775	0.55	0.64347	0.01673
1775	0.65	0.83545	0.0215
1825	-0.65	0.16178	0.0078
1825	-0.55	0.1727	0.00655
1825	-0.45	0.18198	0.00799
1825	-0.35	0.19889	0.00746
1825	-0.25	0.1958	0.00846
1825	-0.15	0.18656	0.00664
1825	-0.05	0.19592	0.00617
1825	0.05	0.23513	0.00748
1825	0.15	0.25872	0.00829
1825	0.25	0.34516	0.01073
1825	0.35	0.43146	0.01277
1825	0.45	0.49958	0.01397
1825	0.55	0.61691	0.01628
1825	0.65	0.79478	0.02109
1875	-0.65	0.12477	0.00479
1875	-0.55	0.12363	0.00385
1875	-0.45	0.15661	0.00533
1875	-0.35	0.18548	0.00565
1875	-0.25	0.20313	0.00644
1875	-0.15	0.18855	0.00529
1875	-0.05	0.18954	0.00492
1875	0.05	0.21263	0.00565
1875	0.15	0.25756	0.00686
1875	0.25	0.31729	0.0084
1875	0.35	0.39971	0.01044
1875	0.45	0.48064	0.01206
1875	0.55	0.58683	0.01422
1875	0.65	0.73182	0.01805
1925	-0.65	0.09204	0.00371
1925	-0.55	0.10429	0.00336
1925	-0.45	0.14062	0.00478
1925	-0.35	0.15869	0.00516
1925	-0.25	0.17636	0.00527
1925	-0.15	0.17236	0.00472
1925	-0.05	0.17337	0.00452
1925	0.05	0.18478	0.00497
1925	0.15	0.22284	0.00597
1925	0.25	0.28634	0.00772
1925	0.35	0.36553	0.00961
1925	0.45	0.42692	0.01069
1925	0.55	0.51573	0.0125
1925	0.65	0.63989	0.01596
1975	-0.65	0.07289	0.00289
1975	-0.55	0.08336	0.00283
1975	-0.45	0.12235	0.00408
1975	-0.35	0.14086	0.00481
1975	-0.25	0.16328	0.00474
1975	-0.15	0.15766	0.00422
1975	-0.05	0.15546	0.00408
1975	0.05	0.16543	0.00452
1975	0.15	0.19952	0.00529
1975	0.25	0.25181	0.00672
1975	0.35	0.32565	0.0086
1975	0.45	0.38921	0.00966
1975	0.55	0.47565	0.01147
1975	0.65	0.59172	0.01487
2025	-0.65	0.07018	0.00304
2025	-0.55	0.07035	0.00278
2025	-0.45	0.09946	0.00358
2025	-0.35	0.11923	0.00462
2025	-0.25	0.1501	0.00453
2025	-0.15	0.14281	0.004
2025	-0.05	0.14268	0.00392
2025	0.05	0.14094	0.00406
2025	0.15	0.18006	0.00498
2025	0.25	0.23319	0.00648
2025	0.35	0.29418	0.00795
2025	0.45	0.34173	0.00865
2025	0.55	0.42833	0.01059
2025	0.65	0.50584	0.01287
2075	-0.65	0.06115	0.00266
2075	-0.55	0.05889	0.00253
2075	-0.45	0.0842	0.00306
2075	-0.35	0.10409	0.00427
2075	-0.25	0.13117	0.00397
2075	-0.15	0.13231	0.00369
2075	-0.05	0.12564	0.00353
2075	0.05	0.1246	0.00364
2075	0.15	0.16082	0.00453
2075	0.25	0.2	0.00561
2075	0.35	0.26028	0.00707
2075	0.45	0.30727	0.00781
2075	0.55	0.36854	0.00918
2075	0.65	0.48858	0.01245
2125	-0.65	0.05479	0.00246
2125	-0.55	0.05483	0.00252
2125	-0.45	0.07321	0.00277
2125	-0.35	0.09078	0.00385
2125	-0.25	0.11756	0.00358
2125	-0.15	0.1123	0.00323
2125	-0.05	0.11379	0.00324
2125	0.05	0.11964	0.00358
2125	0.15	0.13796	0.004
2125	0.25	0.18568	0.00525
2125	0.35	0.22411	0.00606
2125	0.45	0.27281	0.00703
2125	0.55	0.33747	0.00853
2125	0.65	0.44693	0.01149
2175	-0.65	0.04968	0.00251
2175	-0.55	0.0467	0.00256
2175	-0.45	0.064	0.00274
2175	-0.35	0.08124	0.00387
2175	-0.25	0.10365	0.00348
2175	-0.15	0.10085	0.00312
2175	-0.05	0.10467	0.00327
2175	0.05	0.10382	0.0034
2175	0.15	0.12503	0.00396
2175	0.25	0.16512	0.00508
2175	0.35	0.20271	0.00585
2175	0.45	0.24445	0.0066
2175	0.55	0.28774	0.00757
2175	0.65	0.42685	0.01134
2225	-0.65	0.04739	0.00235
2225	-0.55	0.04018	0.00235
2225	-0.45	0.05237	0.00227
2225	-0.35	0.07101	0.00333
2225	-0.25	0.08739	0.00295
2225	-0.15	0.09305	0.00281
2225	-0.05	0.09237	0.00291
2225	0.05	0.08868	0.00296
2225	0.15	0.10604	0.00338
2225	0.25	0.14644	0.00447
2225	0.35	0.17251	0.00499
2225	0.45	0.21422	0.00579
2225	0.55	0.25403	0.00673
2225	0.65	0.38637	0.01026
2275	-0.65	0.04588	0.0027
2275	-0.55	0.03845	0.00265
2275	-0.45	0.04205	0.00222
2275	-0.35	0.06373	0.00349
2275	-0.25	0.07362	0.00294
2275	-0.15	0.08095	0.00274
2275	-0.05	0.08082	0.00288
2275	0.05	0.08515	0.00314
2275	0.15	0.09694	0.00347
2275	0.25	0.11535	0.00402
2275	0.35	0.14668	0.00466
2275	0.45	0.18474	0.00538
2275	0.55	0.22888	0.00649
2275	0.65	0.3316	0.00925
2325	-0.65	0.03584	0.00231
2325	-0.55	0.03477	0.00248
2325	-0.45	0.03983	0.0022
2325	-0.35	0.05506	0.00303
2325	-0.25	0.06587	0.0026
2325	-0.15	0.07393	0.00254
2325	-0.05	0.07646	0.00273
2325	0.05	0.07634	0.00281
2325	0.15	0.07747	0.003
2325	0.25	0.10746	0.00379
2325	0.35	0.12404	0.00403
2325	0.45	0.16308	0.00483
2325	0.55	0.19992	0.00582
2325	0.65	0.30905	0.00881
2375	-0.65	0.03525	0.00339
2375	-0.55	0.02747	0.00337
2375	-0.45	0.03119	0.00306
2375	-0.35	0.04754	0.00395
2375	-0.25	0.06359	0.00343
2375	-0.15	0.06892	0.00319
2375	-0.05	0.06688	0.00348
2375	0.05	0.06349	0.00341
2375	0.15	0.06896	0.00381
2375	0.25	0.08734	0.00449
2375	0.35	0.10592	0.00484
2375	0.45	0.14033	0.00545
2375	0.55	0.17312	0.00634
2425	-0.65	0.0278	0.00254
2425	-0.55	0.0214	0.00274
2425	-0.45	0.02467	0.00244
2425	-0.35	0.04026	0.00301
2425	-0.25	0.04722	0.00264
2425	-0.15	0.05521	0.00275
2425	-0.05	0.05076	0.0027
2425	0.05	0.05233	0.00276
2425	0.15	0.05339	0.00306
2425	0.25	0.06641	0.00347
2425	0.35	0.08513	0.00373
2425	0.45	0.11188	0.00449
2425	0.55	0.14925	0.00561
2475	-0.65	0.02985	0.00198
2475	-0.55	0.02261	0.0022
2475	-0.45	0.02229	0.00188
2475	-0.35	0.03967	0.00237
2475	-0.25	0.04636	0.00211
2475	-0.15	0.05179	0.00209
2475	-0.05	0.04322	0.00204
2475	0.05	0.04804	0.00214
2475	0.15	0.05174	0.00239
2475	0.25	0.06578	0.0028
2475	0.35	0.07346	0.00286
2475	0.45	0.1012	0.00348
2475	0.55	0.14123	0.00476
2525	-0.65	0.02727	0.00193
2525	-0.55	0.02537	0.00209
2525	-0.45	0.02502	0.00194
2525	-0.35	0.03642	0.00207
2525	-0.25	0.03941	0.00185
2525	-0.15	0.04351	0.00192
2525	-0.05	0.04235	0.00196
2525	0.05	0.03996	0.00191
2525	0.15	0.04617	0.0022
2525	0.25	0.05434	0.00251
2525	0.35	0.06587	0.00265
2525	0.45	0.0876	0.00314
2525	0.55	0.12739	0.00438
2575	-0.65	0.02869	0.00229
2575	-0.55	0.02166	0.0024
2575	-0.45	0.0207	0.00248
2575	-0.35	0.0343	0.00222
2575	-0.25	0.03851	0.00204
2575	-0.15	0.04063	0.00213
2575	-0.05	0.03697	0.00213
2575	0.05	0.03226	0.00201
2575	0.15	0.03726	0.00235
2575	0.25	0.04209	0.00244
2575	0.35	0.06068	0.00271
2575	0.45	0.08016	0.00324
2575	0.55	0.11593	0.00453
2625	-0.65	0.0265	0.00197
2625	-0.55	0.02262	0.00204
2625	-0.45	0.02108	0.00197
2625	-0.35	0.03068	0.00189
2625	-0.25	0.0366	0.00182
2625	-0.15	0.03579	0.00177
2625	-0.05	0.03263	0.00177
2625	0.05	0.03077	0.00167
2625	0.15	0.03481	0.002
2625	0.25	0.04255	0.00222
2625	0.35	0.05385	0.00234
2625	0.45	0.07483	0.0029
2625	0.55	0.11126	0.00404
2675	-0.65	0.02177	0.00174
2675	-0.55	0.02295	0.00192
2675	-0.45	0.01995	0.00191
2675	-0.35	0.02792	0.00167
2675	-0.25	0.03239	0.00165
2675	-0.15	0.03197	0.00161
2675	-0.05	0.02384	0.00157
2675	0.05	0.02446	0.00149
2675	0.15	0.02807	0.00168
2675	0.25	0.03306	0.00187
2675	0.35	0.05308	0.00227
2675	0.45	0.06908	0.00267
2675	0.55	0.10246	0.00379
2725	-0.65	0.01736	0.00174
2725	-0.55	0.01568	0.00189
2725	-0.45	0.01951	0.0021
2725	-0.35	0.02453	0.0017
2725	-0.25	0.03026	0.0016
2725	-0.15	0.03044	0.0017
2725	-0.05	0.02442	0.00162
2725	0.05	0.02221	0.00153
2725	0.15	0.02535	0.00169
2725	0.25	0.03156	0.00185
2725	0.35	0.04813	0.00223
2725	0.45	0.0606	0.00263
2725	0.55	0.09638	0.00376
2775	-0.85	0.0263	0.00459
2775	-0.75	0.02166	0.00229
2775	-0.65	0.01898	0.0017
2775	-0.55	0.01491	0.00181
2775	-0.45	0.01724	0.002
2775	-0.35	0.02249	0.00166
2775	-0.25	0.02433	0.00148
2775	-0.15	0.02637	0.00156
2775	-0.05	0.0204	0.00143
2775	0.05	0.01451	0.00132
2775	0.15	0.02046	0.00152
2775	0.25	0.02697	0.00171
2775	0.35	0.03889	0.00205
2775	0.45	0.05626	0.00257
2775	0.55	0.10472	0.00444
2825	-0.75	0.0174	0.00258
2825	-0.65	0.02197	0.00208
2825	-0.55	0.01748	0.00199
2825	-0.45	0.01998	0.00221
2825	-0.35	0.0223	0.00172
2825	-0.25	0.02356	0.00157
2825	-0.15	0.02187	0.00154
2825	-0.05	0.01727	0.00146
2825	0.05	0.01554	0.00148
2825	0.15	0.01693	0.00149
2825	0.25	0.02156	0.00168
2825	0.35	0.03691	0.00202
2825	0.45	0.0524	0.00262
2825	0.55	0.09863	0.00401
2875	-0.85	0.03454	0.00444
2875	-0.75	0.02503	0.00278
2875	-0.65	0.01903	0.00215
2875	-0.55	0.01413	0.00159
2875	-0.45	0.01479	0.00195
2875	-0.35	0.02049	0.00162
2875	-0.25	0.02206	0.00141
2875	-0.15	0.01696	0.00139
2875	-0.05	0.01369	0.00124
2875	0.05	0.01043	0.00129
2875	0.15	0.01267	0.00115
2875	0.25	0.02108	0.0015
2875	0.35	0.03233	0.00187
2875	0.45	0.04567	0.00249
2875	0.55	0.08471	0.00375
